scenario_id,sample_id,area_width,area_height,sink_x,sink_y,n_relays,relay_0_x,relay_0_y,relay_1_x,relay_1_y,relay_2_x,relay_2_y,relay_interface,relay_frequency,relay_bandwidth,relay_bitrate,relay_power,relay_traffic,node_interface,node_frequency,node_bandwidth,node_bitrate,node_power,node_traffic,propagation,packet_length,interval,network_seed,simulated_range,fitness
5,5,509.258,526.9,501.624,145.423,3,417.624,235.691,315.231,254.295,349.197,112.066,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.001,0,0,32,5,42,155,0.373656
5,6,509.258,526.9,501.624,145.423,3,417.851,194.794,324.495,288.584,365.19,87.5766,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.001,0,0,32,5,42,155,0.349462
5,7,509.258,526.9,501.624,145.423,3,353.924,204.982,383.879,324.564,362.229,132.144,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.001,0,0,32,5,42,155,0.354839
5,8,509.258,526.9,501.624,145.423,3,386.67,241.565,343.704,240.384,390.364,137.155,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.001,0,0,32,5,42,155,0.357527
5,9,509.258,526.9,501.624,145.423,3,391.873,239.242,415.683,287.136,365.59,137.016,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.001,0,0,32,5,42,155,0.330645
6,0,564.579,537.492,427.661,392.186,3,305.283,367.013,295.041,504.739,287.852,401.411,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,32,5,42,155,0.396825
6,1,564.579,537.492,427.661,392.186,3,333.997,299.351,317.486,459.229,285.479,366.1,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,32,5,42,155,0.462963
6,2,564.579,537.492,427.661,392.186,3,340.319,400.071,324.311,537.492,301.785,454.351,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,32,5,42,155,0.34127
6,3,564.579,537.492,427.661,392.186,3,316.503,338.896,343.406,505.512,332.288,387.871,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,32,5,42,155,0.373016
6,4,564.579,537.492,427.661,392.186,3,368.363,421.162,362.776,494.217,282.373,451.436,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,32,5,42,155,0.346561
6,5,564.579,537.492,427.661,392.186,3,314.074,436.926,247.636,510.641,245.799,401.096,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,32,5,42,155,0.452381
6,6,564.579,537.492,427.661,392.186,3,320.475,378.411,272.906,443.732,250.198,353.589,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,32,5,42,155,0.452381
6,7,564.579,537.492,427.661,392.186,3,383.097,437.827,352.046,507.402,333.318,444.277,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,32,5,42,155,0.283069
6,8,564.579,537.492,427.661,392.186,3,355.924,345.51,337.74,449.498,251.253,437.583,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,32,5,42,155,0.433862
