pair,seed,relays,width,height,pso_total_evaluations,naive_total_evaluations,common_budget,pso_final_fitness,naive_final_fitness,pso_best_common_budget,naive_best_common_budget,delta_common_budget,pso_final_best_first_eval,naive_final_best_first_eval,pso_final_time,naive_final_time
47,37283284,7,400.0,400.0,420,400,400,0.966667,0.966667,0.966667,0.966667,0.0,11,11,733.003,729.859
48,37283284,7,500.0,500.0,420,400,400,0.827778,0.822222,0.827778,0.822222,0.005556000000000005,234,169,862.096,882.021
49,37283284,7,600.0,600.0,420,400,400,0.666667,0.62619,0.666667,0.62619,0.040476999999999985,238,311,920.356,974.926
50,37283284,7,700.0,700.0,420,400,400,0.529167,0.54375,0.529167,0.54375,-0.014582999999999902,202,140,1023.06,1032.49
51,1555680,7,350.0,350.0,420,400,400,1.0,0.991667,1.0,0.991667,0.008333000000000035,342,388,553.884,521.707
52,1555680,7,400.0,400.0,420,400,400,0.963333,0.966667,0.963333,0.966667,-0.003334000000000059,146,259,756.788,719.424
53,1555680,7,500.0,500.0,420,400,400,0.8,0.8,0.8,0.8,0.0,5,5,918.161,988.993
54,1555680,7,600.0,600.0,420,400,400,0.604762,0.62381,0.604762,0.62381,-0.019047999999999954,242,277,931.196,976.031
55,1555680,7,700.0,700.0,420,400,400,0.485417,0.525,0.477083,0.525,-0.04791700000000004,403,302,1007.97,1046.81
56,60466,7,350.0,350.0,420,400,400,1.0,1.0,0.995833,1.0,-0.004167000000000032,417,65,539.538,513.565
57,60466,7,400.0,400.0,420,400,400,0.976667,0.953333,0.976667,0.953333,0.023333999999999966,285,126,723.255,712.75
58,60466,7,500.0,500.0,420,400,400,0.797222,0.797222,0.797222,0.797222,0.0,335,44,863.444,866.891
59,60466,7,600.0,600.0,420,400,400,0.628571,0.645238,0.628571,0.645238,-0.016666999999999987,6,45,935.384,953.578
60,60466,7,700.0,700.0,420,400,400,0.554167,0.545833,0.554167,0.545833,0.008333999999999953,301,130,1002.43,1025.33
61,37283284,8,350.0,350.0,420,400,400,1.0,0.991667,1.0,0.991667,0.008333000000000035,380,118,562.088,535.909
