scenario_id,sample_id,area_width,area_height,sink_x,sink_y,n_relays,relay_0_x,relay_0_y,relay_1_x,relay_1_y,relay_2_x,relay_2_y,relay_3_x,relay_3_y,relay_interface,relay_frequency,relay_bandwidth,relay_bitrate,relay_power,relay_traffic,node_interface,node_frequency,node_bandwidth,node_bitrate,node_power,node_traffic,propagation,packet_length,interval,network_seed,simulated_range,fitness
1,4,350,350,0,0,4,226.963,212.732,107.19,49.3054,144.31,148.908,194.803,349.285,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.75
1,5,350,350,0,0,4,228.154,259.763,37.7119,88.3551,162.864,132.161,275.849,321.781,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.754167
1,6,350,350,0,0,4,245.954,207.742,98.1689,37.3956,180.225,76.8308,217.811,302.671,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.816667
1,7,350,350,0,0,4,230.305,173.381,87.121,90.3141,196.568,111.327,253.679,232.46,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.845833
1,8,350,350,0,0,4,203.204,228.381,0,75.5806,118.048,161.028,202.022,256.709,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.733333
1,9,350,350,0,0,4,326.544,158.193,112.788,74.299,172.588,175.876,277.421,229.533,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.866667
1,10,350,350,0,0,4,204.759,219.512,39.4209,140.286,138.079,91.6706,175.871,267.812,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.816667
1,11,350,350,0,0,4,227.729,284.805,56.1763,122.152,183.568,142.41,175.892,310.082,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.775
1,12,350,350,0,0,4,259.005,274.691,83.9003,70.7187,183.485,141.852,200.838,269.053,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.770833
1,13,350,350,0,0,4,255.607,222.076,7.13962,109.494,110.776,206.97,280.754,336.791,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.75
1,14,350,350,0,0,4,196.665,216.97,43.5097,71.7071,131.603,99.571,308.883,307.448,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.729167
1,15,350,350,0,0,4,222.604,209.148,109.958,72.2941,151.688,168.821,242.82,253.225,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.795833
1,16,350,350,0,0,4,253.697,233.609,89.1945,68.6429,212.567,122.32,283.654,350,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.841667
1,17,350,350,0,0,4,236.178,310.668,0,34.8158,119.653,117.715,157.698,226.49,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.779167
1,18,350,350,0,0,4,262.598,212.692,94.6703,98.6167,200.643,89.2541,196.924,220.61,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.875
1,19,350,350,0,0,4,262.859,184.53,73.1403,81.7845,117.893,201.695,183.607,235.759,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.8375
2,0,350,350,0,0,4,145.515,142.23,48.8911,79.7844,227.954,225.79,291.201,266.074,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.870833
2,1,350,350,0,0,4,121.219,85.9803,96.6533,133.928,206.059,208.819,270.572,233.015,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.904167
2,2,350,350,0,0,4,71.5155,70.9727,19.6267,25.1069,151.964,185.208,246.316,218.061,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.9
2,3,350,350,0,0,4,128.097,200.365,114.508,85.9784,245.125,172.322,312.042,270.209,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.95
2,4,350,350,0,0,4,78.6277,196.111,46.7618,106.43,183.453,260.966,308.653,230.696,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.9375
2,5,350,350,0,0,4,127.239,161.448,83.8003,89.9913,159.336,205.087,211.844,306.175,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.845833
2,6,350,350,0,0,4,119.414,90.4509,109.29,132.618,184.093,168.886,292.589,223.865,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.858333
2,7,350,350,0,0,4,82.8084,100.838,120.634,114.172,173.676,187.084,278.234,289.908,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.833333
2,8,350,350,0,0,4,176.695,117.721,45.7018,77.5105,219.209,213.671,270.136,257.505,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.891667
2,9,350,350,0,0,4,112.926,159.496,12.8446,147.503,176.029,207.088,315.909,253.822,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.8625
2,10,350,350,0,0,4,175.757,74.8644,74.5002,51.5324,269.886,215.012,229.276,213.208,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.875
2,11,350,350,0,0,4,133.911,65.9165,0,12.8741,249.453,160.745,285.542,218.505,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.883333
2,12,350,350,0,0,4,224.733,65.7986,78.8683,42.3479,298.289,222.446,219.645,214.667,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.858333
2,13,350,350,0,0,4,157.63,186.884,103.514,80.3115,214.798,305.763,245.648,340.483,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.8
2,14,350,350,0,0,4,74.0395,83.7363,0,4.02637,154.159,185.303,263.622,259.827,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.870833
2,15,350,350,0,0,4,107.929,205.672,95.6806,80.6968,188.298,175.39,240.739,227.71,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.891667
2,16,350,350,0,0,4,95.9592,114.571,35.8862,5.69103,161.718,234.705,229.597,283.944,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.870833
2,17,350,350,0,0,4,133.726,151.043,26.7762,120.186,185.85,253.333,281.462,282.954,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.879167
2,18,350,350,0,0,4,150.095,99.0686,41.9357,82.8754,179.929,227.706,231.935,191.73,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.916667
2,19,350,350,0,0,4,104.855,200.922,0,148.939,186.241,241.172,222.048,225.596,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.8625
3,0,350,350,0,0,4,276.181,299.236,67.5439,60.253,173.743,220.814,194.062,110.934,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.879167
3,1,350,350,0,0,4,205.715,238.376,92.0101,91.2686,153.75,202.476,210.058,152.51,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.904167
