relays,width,height,nodes,network_config,evaluations,pairs,mean_pso_pdr,mean_naive_pdr,mean_delta_pdr,median_delta_pdr,pso_wins,ties,naive_wins,naive_failed_pairs
2,500.0,500.0,,2,320,12,0.3562498333333333,0.33495383333333334,0.02129600000000001,0.022221999999999992,11,0,1,0
2,500.0,500.0,,2,340,12,0.35717583333333336,0.33518525,0.021990583333333345,0.022221999999999992,11,0,1,0
2,500.0,500.0,,2,360,12,0.35763875,0.33518525,0.02245350000000001,0.022221999999999992,11,0,1,0
2,500.0,500.0,,2,380,12,0.35810166666666665,0.33518525,0.022916416666666675,0.02222200000000002,11,0,1,0
2,500.0,500.0,,2,400,12,0.35810166666666665,0.33518525,0.022916416666666675,0.02222200000000002,11,0,1,0
3,500.0,500.0,,1,20,12,0.5238424166666666,0.5238424166666666,0.0,0.0,0,12,0,0
3,500.0,500.0,,1,40,12,0.5310184166666667,0.5421294166666667,-0.011111000000000015,0.0,2,5,5,0
3,500.0,500.0,,1,60,12,0.5456016666666667,0.5483795,-0.0027778333333333544,0.0,5,4,3,0
3,500.0,500.0,,1,80,12,0.5488423333333333,0.55347225,-0.004629916666666678,0.0027774999999999883,6,3,3,0
3,500.0,500.0,,1,100,12,0.5699073333333333,0.55995375,0.009953583333333321,0.01666599999999996,8,1,3,0
3,500.0,500.0,,1,120,12,0.5775463333333334,0.5622685833333333,0.015277750000000007,0.018054999999999988,9,1,2,0
3,500.0,500.0,,1,140,12,0.5842593333333334,0.5648149166666667,0.01944441666666667,0.01666650000000003,10,1,1,0
3,500.0,500.0,,1,160,12,0.5870370833333334,0.5655093333333333,0.021527750000000002,0.02083299999999999,10,1,1,0
3,500.0,500.0,,1,180,12,0.5886574166666667,0.5699075,0.01874991666666667,0.018054999999999988,11,0,1,0
3,500.0,500.0,,1,200,12,0.592361,0.5703705,0.021990500000000007,0.02083299999999999,11,0,1,0
3,500.0,500.0,,1,220,12,0.5967590833333334,0.5724538333333333,0.02430524999999999,0.016666499999999973,12,0,0,0
3,500.0,500.0,,1,240,12,0.5999998333333334,0.57384275,0.02615708333333334,0.019444499999999976,12,0,0,0
3,500.0,500.0,,1,260,12,0.6025461666666667,0.5756945833333333,0.026851583333333345,0.022221999999999964,12,0,0,0
3,500.0,500.0,,1,280,12,0.6074073333333333,0.5761575833333333,0.031249749999999993,0.022221999999999964,12,0,0,0
3,500.0,500.0,,1,300,12,0.60879625,0.5761575833333333,0.03263866666666667,0.027777499999999955,12,0,0,0
3,500.0,500.0,,1,320,12,0.6106481666666667,0.576852,0.033796166666666655,0.029166999999999943,12,0,0,0
3,500.0,500.0,,1,340,12,0.6131945,0.576852,0.03634249999999998,0.034722499999999934,12,0,0,0
3,500.0,500.0,,1,360,12,0.6162037499999999,0.576852,0.039351749999999984,0.03472249999999999,12,0,0,0
3,500.0,500.0,,1,380,12,0.6173611666666666,0.5780094166666667,0.03935174999999999,0.03472249999999999,12,0,0,0
