pair,seed,relays,width,height,pso_total_evaluations,naive_total_evaluations,common_budget,pso_final_fitness,naive_final_fitness,pso_best_common_budget,naive_best_common_budget,delta_common_budget,pso_final_best_first_eval,naive_final_best_first_eval,pso_final_time,naive_final_time
42,806219,3,500.0,500.0,420,400,400,0.436111,0.408333,0.436111,0.408333,0.027778000000000025,340,326,594.416,512.648
43,76126870,3,500.0,500.0,420,400,400,0.480556,0.433333,0.480556,0.433333,0.04722299999999996,302,168,593.898,506.911
44,74509218,3,500.0,500.0,420,400,400,0.505556,0.458333,0.505556,0.458333,0.047223000000000015,313,291,597.884,523.193
45,1664576,3,500.0,500.0,420,400,400,0.477778,0.425,0.477778,0.425,0.05277799999999999,314,73,600.013,514.423
46,40063030,3,500.0,500.0,420,400,400,0.491667,0.436111,0.491667,0.436111,0.055555999999999994,319,304,600.293,518.299
47,38032146,3,500.0,500.0,420,400,400,0.494444,0.427778,0.494444,0.427778,0.066666,348,89,581.724,501.891
48,74485470,3,500.0,500.0,420,400,400,0.513889,0.472222,0.513889,0.472222,0.041667000000000065,348,31,623.386,526.422
49,525339,4,500.0,500.0,420,400,400,0.65,0.641667,0.65,0.641667,0.008333000000000035,389,9,716.422,617.493
50,864365,4,500.0,500.0,420,400,400,0.722222,0.652778,0.722222,0.652778,0.06944400000000006,297,155,717.08,636.016
51,67358,4,500.0,500.0,420,400,400,0.722222,0.697222,0.722222,0.697222,0.025000000000000022,164,374,745.793,633.615
52,747263,4,500.0,500.0,420,400,400,0.655556,0.647222,0.655556,0.647222,0.008334000000000064,164,195,694.097,623.266
53,677807,4,500.0,500.0,420,400,400,0.763889,0.711111,0.763889,0.711111,0.05277799999999999,208,376,735.449,614.384
54,806219,4,500.0,500.0,420,400,400,0.694444,0.669444,0.694444,0.669444,0.02499999999999991,345,233,707.518,613.559
55,76126870,4,500.0,500.0,420,400,400,0.761111,0.711111,0.752778,0.711111,0.0416669999999999,401,376,731.453,619.892
56,74509218,4,500.0,500.0,420,400,400,0.738889,0.716667,0.738889,0.716667,0.022221999999999964,362,183,706.408,624.514
57,1664576,4,500.0,500.0,420,400,400,0.702778,0.716667,0.702778,0.716667,-0.01388900000000004,277,119,740.968,615.21
58,40063030,4,500.0,500.0,420,400,400,0.680556,0.713889,0.680556,0.713889,-0.033332999999999946,386,352,665.196,614.39
59,38032146,4,500.0,500.0,420,400,400,0.730556,0.680556,0.730556,0.680556,0.04999999999999993,174,148,716.392,604.403
60,74485470,4,500.0,500.0,420,400,400,0.711111,0.686111,0.711111,0.686111,0.025000000000000022,170,25,729.152,645.362
61,525339,4,500.0,500.0,420,400,400,0.566667,0.472222,0.566667,0.472222,0.09444500000000006,394,98,663.943,578.989
62,864365,4,500.0,500.0,420,400,400,0.547222,0.519444,0.547222,0.519444,0.02777799999999997,376,314,659.566,631.478
63,67358,4,500.0,500.0,420,400,400,0.525,0.527778,0.525,0.527778,-0.002777999999999947,361,374,703.038,597.767
64,747263,4,500.0,500.0,420,400,400,0.511111,0.511111,0.511111,0.511111,0.0,292,195,620.202,584.41
65,677807,4,500.0,500.0,420,400,400,0.563889,0.536111,0.563889,0.536111,0.02777799999999997,146,86,663.392,584.882
66,806219,4,500.0,500.0,420,400,400,0.477778,0.505556,0.477778,0.505556,-0.027778000000000025,352,49,594.849,590.554
67,76126870,4,500.0,500.0,420,400,400,0.536111,0.513889,0.536111,0.513889,0.022221999999999964,366,376,643.613,579.097
68,74509218,4,500.0,500.0,420,400,400,0.6,0.552778,0.6,0.552778,0.047221999999999986,227,183,680.878,587.181
69,1664576,4,500.0,500.0,420,400,400,0.569444,0.516667,0.569444,0.516667,0.05277699999999996,247,15,709.681,631.69
70,40063030,4,500.0,500.0,420,400,400,0.538889,0.530556,0.538889,0.530556,0.008332999999999924,361,186,681.019,647.739
71,38032146,4,500.0,500.0,420,400,400,0.575,0.519444,0.552778,0.519444,0.033333999999999975,409,148,716.788,625.616
72,74485470,4,500.0,500.0,420,400,400,0.552778,0.552778,0.552778,0.552778,0.0,384,373,753.77,639.107
73,525339,6,500.0,500.0,420,400,400,0.808333,0.761111,0.788889,0.761111,0.02777799999999997,409,132,884.615,818.114
74,864365,6,500.0,500.0,420,400,400,0.766667,0.752778,0.766667,0.752778,0.01388900000000004,381,207,852.497,814.75
75,67358,6,500.0,500.0,420,400,400,0.822222,0.8,0.822222,0.8,0.022221999999999964,334,183,854.797,812.394
76,747263,6,500.0,500.0,420,400,400,0.752778,0.75,0.752778,0.75,0.002777999999999947,372,197,801.708,796.237
77,677807,6,500.0,500.0,420,400,400,0.838889,0.827778,0.838889,0.827778,0.011110999999999982,337,199,846.834,781.219
78,806219,6,500.0,500.0,420,400,400,0.780556,0.75,0.780556,0.75,0.030556000000000028,287,57,822.968,818.317
79,76126870,6,500.0,500.0,420,400,400,0.788889,0.802778,0.788889,0.802778,-0.01388900000000004,313,144,813.412,796.729
80,74509218,6,500.0,500.0,420,400,400,0.813889,0.8,0.813889,0.8,0.01388899999999993,339,104,849.369,791.719
81,1664576,6,500.0,500.0,420,400,400,0.819444,0.802778,0.811111,0.802778,0.008333000000000035,403,268,803.804,797.896
82,40063030,6,500.0,500.0,420,400,400,0.797222,0.805556,0.797222,0.805556,-0.008334000000000064,321,316,831.838,790.46
83,38032146,6,500.0,500.0,420,400,400,0.811111,0.786111,0.811111,0.786111,0.025000000000000022,357,326,846.31,792.93
84,74485470,6,500.0,500.0,420,400,400,0.869444,0.813889,0.869444,0.813889,0.05555500000000002,260,35,806.267,782.45
85,525339,6,500.0,500.0,420,400,400,0.611111,0.613889,0.611111,0.613889,-0.002778000000000058,244,63,729.525,723.94
86,864365,6,500.0,500.0,420,400,400,0.638889,0.6,0.630556,0.6,0.030556000000000028,415,355,720.949,727.968
87,67358,6,500.0,500.0,420,400,400,0.638889,0.655556,0.638889,0.655556,-0.016666999999999987,7,135,743.041,729.467
88,747263,6,500.0,500.0,420,400,400,0.686111,0.638889,0.686111,0.638889,0.047221999999999986,392,197,710.048,715.225
89,677807,6,500.0,500.0,420,400,400,0.688889,0.686111,0.688889,0.686111,0.002777999999999947,300,46,751.383,715.813
90,806219,6,500.0,500.0,420,400,400,0.622222,0.65,0.622222,0.65,-0.02777799999999997,319,57,734.94,728.711
91,76126870,6,500.0,500.0,420,400,400,0.702778,0.652778,0.702778,0.652778,0.050000000000000044,244,140,757.323,724.68
92,74509218,6,500.0,500.0,420,400,400,0.716667,0.669444,0.716667,0.669444,0.047223000000000015,125,370,771.107,719.571
93,1664576,6,500.0,500.0,420,400,400,0.641667,0.644444,0.641667,0.644444,-0.0027770000000000294,235,337,736.75,726.419
94,40063030,6,500.0,500.0,420,400,400,0.622222,0.622222,0.622222,0.622222,0.0,374,107,710.566,723.172
95,38032146,6,500.0,500.0,420,400,400,0.663889,0.683333,0.663889,0.683333,-0.019444000000000017,260,150,791.413,725.867
96,74485470,6,500.0,500.0,420,400,400,0.672222,0.647222,0.672222,0.647222,0.025000000000000022,327,218,729.375,724.11
