pair,method,file,seed,relays,width,height,iteration,evaluation,best_fitness
10,Naive,2026-09-23_03-04-16.log,,96,,,0,1,0.105556
10,Naive,2026-09-23_03-04-16.log,,96,,,1,2,0.283333
10,Naive,2026-09-23_03-04-16.log,,96,,,2,3,0.286111
10,Naive,2026-09-23_03-04-16.log,,96,,,3,4,0.313889
10,Naive,2026-09-23_03-04-16.log,,96,,,6,7,0.316667
10,Naive,2026-09-23_03-04-16.log,,96,,,10,11,0.397222
10,Naive,2026-09-23_03-04-16.log,,96,,,16,17,0.405556
10,Naive,2026-09-23_03-04-16.log,,96,,,26,27,0.436111
10,Naive,2026-09-23_03-04-16.log,,96,,,187,188,0.45
10,Naive,2026-09-23_03-04-16.log,,96,,,282,283,0.458333
11,PSO,2026-09-23_03-12-36.log,38032146,2,500.0,500.0,0,1,0.219444
11,PSO,2026-09-23_03-12-36.log,38032146,2,500.0,500.0,0,3,0.336111
11,PSO,2026-09-23_03-12-36.log,38032146,2,500.0,500.0,0,5,0.347222
11,PSO,2026-09-23_03-12-36.log,38032146,2,500.0,500.0,0,15,0.419444
11,PSO,2026-09-23_03-12-36.log,38032146,2,500.0,500.0,1,32,0.452778
11,PSO,2026-09-23_03-12-36.log,38032146,2,500.0,500.0,5,109,0.461111
11,PSO,2026-09-23_03-12-36.log,38032146,2,500.0,500.0,7,149,0.472222
11,PSO,2026-09-23_03-12-36.log,38032146,2,500.0,500.0,10,218,0.477778
11,PSO,2026-09-23_03-12-36.log,38032146,2,500.0,500.0,11,228,0.480556
11,PSO,2026-09-23_03-12-36.log,38032146,2,500.0,500.0,13,276,0.483333
11,PSO,2026-09-23_03-12-36.log,38032146,2,500.0,500.0,14,296,0.486111
11,Naive,2026-09-23_03-22-27.log,,97,,,0,1,0.219444
11,Naive,2026-09-23_03-22-27.log,,97,,,2,3,0.336111
11,Naive,2026-09-23_03-22-27.log,,97,,,4,5,0.347222
11,Naive,2026-09-23_03-22-27.log,,97,,,14,15,0.419444
11,Naive,2026-09-23_03-22-27.log,,97,,,249,250,0.45
12,PSO,2026-09-23_03-30-18.log,74485470,2,500.0,500.0,0,1,0.288889
12,PSO,2026-09-23_03-30-18.log,74485470,2,500.0,500.0,0,2,0.336111
12,PSO,2026-09-23_03-30-18.log,74485470,2,500.0,500.0,0,3,0.369444
12,PSO,2026-09-23_03-30-18.log,74485470,2,500.0,500.0,0,10,0.397222
12,PSO,2026-09-23_03-30-18.log,74485470,2,500.0,500.0,0,11,0.422222
12,PSO,2026-09-23_03-30-18.log,74485470,2,500.0,500.0,1,22,0.480556
12,PSO,2026-09-23_03-30-18.log,74485470,2,500.0,500.0,2,53,0.486111
12,PSO,2026-09-23_03-30-18.log,74485470,2,500.0,500.0,4,87,0.491667
12,PSO,2026-09-23_03-30-18.log,74485470,2,500.0,500.0,5,111,0.494444
12,PSO,2026-09-23_03-30-18.log,74485470,2,500.0,500.0,7,153,0.497222
12,PSO,2026-09-23_03-30-18.log,74485470,2,500.0,500.0,9,191,0.5
12,PSO,2026-09-23_03-30-18.log,74485470,2,500.0,500.0,20,410,0.502778
12,Naive,2026-09-23_03-40-15.log,,107,,,0,1,0.288889
12,Naive,2026-09-23_03-40-15.log,,107,,,1,2,0.336111
12,Naive,2026-09-23_03-40-15.log,,107,,,2,3,0.369444
12,Naive,2026-09-23_03-40-15.log,,107,,,9,10,0.397222
12,Naive,2026-09-23_03-40-15.log,,107,,,10,11,0.422222
12,Naive,2026-09-23_03-40-15.log,,107,,,53,54,0.425
12,Naive,2026-09-23_03-40-15.log,,107,,,61,62,0.436111
12,Naive,2026-09-23_03-40-15.log,,107,,,108,109,0.488889
13,PSO,2026-09-23_03-48-53.log,525339,2,500.0,500.0,0,1,0.0555556
13,PSO,2026-09-23_03-48-53.log,525339,2,500.0,500.0,0,2,0.222222
13,PSO,2026-09-23_03-48-53.log,525339,2,500.0,500.0,0,4,0.230556
13,PSO,2026-09-23_03-48-53.log,525339,2,500.0,500.0,0,11,0.233333
13,PSO,2026-09-23_03-48-53.log,525339,2,500.0,500.0,0,13,0.255556
13,PSO,2026-09-23_03-48-53.log,525339,2,500.0,500.0,1,22,0.258333
13,PSO,2026-09-23_03-48-53.log,525339,2,500.0,500.0,1,37,0.269444
13,PSO,2026-09-23_03-48-53.log,525339,2,500.0,500.0,2,50,0.283333
13,PSO,2026-09-23_03-48-53.log,525339,2,500.0,500.0,3,75,0.319444
13,PSO,2026-09-23_03-48-53.log,525339,2,500.0,500.0,7,147,0.322222
13,PSO,2026-09-23_03-48-53.log,525339,2,500.0,500.0,9,186,0.325
13,PSO,2026-09-23_03-48-53.log,525339,2,500.0,500.0,12,246,0.327778
13,PSO,2026-09-23_03-48-53.log,525339,2,500.0,500.0,12,255,0.330556
13,PSO,2026-09-23_03-48-53.log,525339,2,500.0,500.0,13,270,0.333333
13,Naive,2026-09-23_03-57-54.log,,55,,,0,1,0.0555556
13,Naive,2026-09-23_03-57-54.log,,55,,,1,2,0.222222
13,Naive,2026-09-23_03-57-54.log,,55,,,3,4,0.230556
13,Naive,2026-09-23_03-57-54.log,,55,,,10,11,0.233333
13,Naive,2026-09-23_03-57-54.log,,55,,,12,13,0.255556
13,Naive,2026-09-23_03-57-54.log,,55,,,22,23,0.291667
13,Naive,2026-09-23_03-57-54.log,,55,,,299,300,0.3
14,PSO,2026-09-23_04-05-51.log,864365,2,500.0,500.0,0,1,0.130556
14,PSO,2026-09-23_04-05-51.log,864365,2,500.0,500.0,0,2,0.180556
14,PSO,2026-09-23_04-05-51.log,864365,2,500.0,500.0,0,5,0.238889
14,PSO,2026-09-23_04-05-51.log,864365,2,500.0,500.0,0,8,0.252778
14,PSO,2026-09-23_04-05-51.log,864365,2,500.0,500.0,0,20,0.258333
14,PSO,2026-09-23_04-05-51.log,864365,2,500.0,500.0,1,32,0.275
14,PSO,2026-09-23_04-05-51.log,864365,2,500.0,500.0,2,60,0.277778
14,PSO,2026-09-23_04-05-51.log,864365,2,500.0,500.0,3,72,0.280556
14,PSO,2026-09-23_04-05-51.log,864365,2,500.0,500.0,5,105,0.3
14,Naive,2026-09-23_04-14-46.log,,260,,,0,1,0.130556
14,Naive,2026-09-23_04-14-46.log,,260,,,1,2,0.180556
14,Naive,2026-09-23_04-14-46.log,,260,,,4,5,0.238889
14,Naive,2026-09-23_04-14-46.log,,260,,,7,8,0.252778
14,Naive,2026-09-23_04-14-46.log,,260,,,19,20,0.258333
14,Naive,2026-09-23_04-14-46.log,,260,,,55,56,0.269444
14,Naive,2026-09-23_04-14-46.log,,260,,,145,146,0.277778
14,Naive,2026-09-23_04-14-46.log,,260,,,157,158,0.280556
14,Naive,2026-09-23_04-14-46.log,,260,,,195,196,0.291667
15,PSO,2026-09-23_04-22-29.log,67358,2,500.0,500.0,0,1,0.233333
15,PSO,2026-09-23_04-22-29.log,67358,2,500.0,500.0,1,22,0.241667
