pair,seed,relays,width,height,nodes,network_config,evaluations,pso_best_pdr,naive_best_pdr,delta_pdr,naive_failed,naive_failed_before_checkpoint,naive_last_logged_iteration
7,76126870,2,500.0,500.0,,1,380,0.477778,0.452778,0.024999999999999967,False,False,227
7,76126870,2,500.0,500.0,,1,400,0.477778,0.452778,0.024999999999999967,False,False,227
8,74509218,2,500.0,500.0,,1,20,0.430556,0.430556,0.0,False,False,50
8,74509218,2,500.0,500.0,,1,40,0.430556,0.447222,-0.016666000000000014,False,False,50
8,74509218,2,500.0,500.0,,1,60,0.433333,0.458333,-0.024999999999999967,False,False,50
8,74509218,2,500.0,500.0,,1,80,0.447222,0.458333,-0.011110999999999982,False,False,50
8,74509218,2,500.0,500.0,,1,100,0.447222,0.458333,-0.011110999999999982,False,False,50
8,74509218,2,500.0,500.0,,1,120,0.447222,0.458333,-0.011110999999999982,False,False,50
8,74509218,2,500.0,500.0,,1,140,0.447222,0.458333,-0.011110999999999982,False,False,50
8,74509218,2,500.0,500.0,,1,160,0.447222,0.458333,-0.011110999999999982,False,False,50
8,74509218,2,500.0,500.0,,1,180,0.447222,0.458333,-0.011110999999999982,False,False,50
8,74509218,2,500.0,500.0,,1,200,0.45,0.458333,-0.00833299999999998,False,False,50
8,74509218,2,500.0,500.0,,1,220,0.45,0.458333,-0.00833299999999998,False,False,50
8,74509218,2,500.0,500.0,,1,240,0.45,0.458333,-0.00833299999999998,False,False,50
8,74509218,2,500.0,500.0,,1,260,0.45,0.458333,-0.00833299999999998,False,False,50
8,74509218,2,500.0,500.0,,1,280,0.45,0.458333,-0.00833299999999998,False,False,50
8,74509218,2,500.0,500.0,,1,300,0.45,0.458333,-0.00833299999999998,False,False,50
8,74509218,2,500.0,500.0,,1,320,0.455556,0.458333,-0.002776999999999974,False,False,50
8,74509218,2,500.0,500.0,,1,340,0.455556,0.458333,-0.002776999999999974,False,False,50
8,74509218,2,500.0,500.0,,1,360,0.463889,0.458333,0.005556000000000005,False,False,50
8,74509218,2,500.0,500.0,,1,380,0.463889,0.458333,0.005556000000000005,False,False,50
8,74509218,2,500.0,500.0,,1,400,0.463889,0.458333,0.005556000000000005,False,False,50
9,1664576,2,500.0,500.0,,1,20,0.444444,0.444444,0.0,False,False,8
9,1664576,2,500.0,500.0,,1,40,0.444444,0.444444,0.0,False,False,8
9,1664576,2,500.0,500.0,,1,60,0.444444,0.444444,0.0,False,False,8
9,1664576,2,500.0,500.0,,1,80,0.444444,0.444444,0.0,False,False,8
9,1664576,2,500.0,500.0,,1,100,0.444444,0.444444,0.0,False,False,8
9,1664576,2,500.0,500.0,,1,120,0.444444,0.444444,0.0,False,False,8
9,1664576,2,500.0,500.0,,1,140,0.455556,0.444444,0.01111200000000001,False,False,8
9,1664576,2,500.0,500.0,,1,160,0.455556,0.444444,0.01111200000000001,False,False,8
9,1664576,2,500.0,500.0,,1,180,0.458333,0.444444,0.013888999999999985,False,False,8
9,1664576,2,500.0,500.0,,1,200,0.466667,0.444444,0.022222999999999993,False,False,8
9,1664576,2,500.0,500.0,,1,220,0.466667,0.444444,0.022222999999999993,False,False,8
9,1664576,2,500.0,500.0,,1,240,0.466667,0.444444,0.022222999999999993,False,False,8
9,1664576,2,500.0,500.0,,1,260,0.466667,0.444444,0.022222999999999993,False,False,8
9,1664576,2,500.0,500.0,,1,280,0.466667,0.444444,0.022222999999999993,False,False,8
9,1664576,2,500.0,500.0,,1,300,0.466667,0.444444,0.022222999999999993,False,False,8
9,1664576,2,500.0,500.0,,1,320,0.466667,0.444444,0.022222999999999993,False,False,8
9,1664576,2,500.0,500.0,,1,340,0.466667,0.444444,0.022222999999999993,False,False,8
9,1664576,2,500.0,500.0,,1,360,0.466667,0.444444,0.022222999999999993,False,False,8
9,1664576,2,500.0,500.0,,1,380,0.466667,0.444444,0.022222999999999993,False,False,8
9,1664576,2,500.0,500.0,,1,400,0.466667,0.444444,0.022222999999999993,False,False,8
10,40063030,2,500.0,500.0,,1,20,0.405556,0.405556,0.0,False,False,282
10,40063030,2,500.0,500.0,,1,40,0.427778,0.436111,-0.008333000000000035,False,False,282
10,40063030,2,500.0,500.0,,1,60,0.438889,0.436111,0.002777999999999947,False,False,282
10,40063030,2,500.0,500.0,,1,80,0.438889,0.436111,0.002777999999999947,False,False,282
10,40063030,2,500.0,500.0,,1,100,0.461111,0.436111,0.024999999999999967,False,False,282
10,40063030,2,500.0,500.0,,1,120,0.461111,0.436111,0.024999999999999967,False,False,282
10,40063030,2,500.0,500.0,,1,140,0.472222,0.436111,0.03611099999999995,False,False,282
10,40063030,2,500.0,500.0,,1,160,0.472222,0.436111,0.03611099999999995,False,False,282
10,40063030,2,500.0,500.0,,1,180,0.472222,0.436111,0.03611099999999995,False,False,282
10,40063030,2,500.0,500.0,,1,200,0.472222,0.45,0.022221999999999964,False,False,282
10,40063030,2,500.0,500.0,,1,220,0.475,0.45,0.024999999999999967,False,False,282
10,40063030,2,500.0,500.0,,1,240,0.475,0.45,0.024999999999999967,False,False,282
10,40063030,2,500.0,500.0,,1,260,0.475,0.45,0.024999999999999967,False,False,282
10,40063030,2,500.0,500.0,,1,280,0.475,0.45,0.024999999999999967,False,False,282
10,40063030,2,500.0,500.0,,1,300,0.480556,0.458333,0.022222999999999993,False,False,282
10,40063030,2,500.0,500.0,,1,320,0.480556,0.458333,0.022222999999999993,False,False,282
10,40063030,2,500.0,500.0,,1,340,0.480556,0.458333,0.022222999999999993,False,False,282
10,40063030,2,500.0,500.0,,1,360,0.480556,0.458333,0.022222999999999993,False,False,282
10,40063030,2,500.0,500.0,,1,380,0.480556,0.458333,0.022222999999999993,False,False,282
10,40063030,2,500.0,500.0,,1,400,0.480556,0.458333,0.022222999999999993,False,False,282
11,38032146,2,500.0,500.0,,1,20,0.419444,0.419444,0.0,False,False,249
11,38032146,2,500.0,500.0,,1,40,0.452778,0.419444,0.03333400000000003,False,False,249
11,38032146,2,500.0,500.0,,1,60,0.452778,0.419444,0.03333400000000003,False,False,249
11,38032146,2,500.0,500.0,,1,80,0.452778,0.419444,0.03333400000000003,False,False,249
11,38032146,2,500.0,500.0,,1,100,0.452778,0.419444,0.03333400000000003,False,False,249
11,38032146,2,500.0,500.0,,1,120,0.461111,0.419444,0.04166700000000001,False,False,249
11,38032146,2,500.0,500.0,,1,140,0.461111,0.419444,0.04166700000000001,False,False,249
11,38032146,2,500.0,500.0,,1,160,0.472222,0.419444,0.05277799999999999,False,False,249
11,38032146,2,500.0,500.0,,1,180,0.472222,0.419444,0.05277799999999999,False,False,249
