seed,relays,width,height,network_config,pso_400,pso_final,pso_extra_20_gain,naive_400,delta,pso_file,naive_file,area
60466,8,500.0,500.0,1,0.844444,0.844444,0.0,0.85,-0.005556000000000005,2026-09-19_04-52-47.log,2026-09-19_05-07-10.log,500
60466,8,600.0,600.0,1,0.633333,0.640476,0.0071430000000000105,0.661905,-0.02857199999999993,2026-09-19_05-22-45.log,2026-09-19_05-38-29.log,600
60466,8,700.0,700.0,1,0.564583,0.564583,0.0,0.560417,0.004165999999999892,2026-09-19_05-55-56.log,2026-09-19_06-12-48.log,700
37283284,2,350.0,350.0,1,0.791667,0.791667,0.0,0.775,0.016666999999999987,2026-09-19_15-27-26.log,2026-09-19_15-34-35.log,350
37283284,2,400.0,400.0,1,0.663333,0.663333,0.0,0.62,0.043332999999999955,2026-09-19_15-40-39.log,2026-09-19_15-49-10.log,400
37283284,2,500.0,500.0,1,0.475,0.475,0.0,0.444444,0.030555999999999972,2026-09-19_15-56-37.log,2026-09-19_16-06-20.log,500
37283284,2,600.0,600.0,1,0.32619,0.32619,0.0,0.316667,0.009523000000000004,2026-09-19_16-14-24.log,2026-09-19_16-25-04.log,600
37283284,2,700.0,700.0,1,0.285417,0.285417,0.0,0.264583,0.020833999999999964,2026-09-19_16-34-09.log,2026-09-19_16-46-14.log,700
1555680,2,350.0,350.0,1,0.816667,0.816667,0.0,0.758333,0.058334,2026-09-19_16-56-51.log,2026-09-19_17-04-05.log,350
1555680,2,400.0,400.0,1,0.71,0.71,0.0,0.676667,0.033332999999999946,2026-09-19_17-10-05.log,2026-09-19_17-18-54.log,400
1555680,2,500.0,500.0,1,0.419444,0.419444,0.0,0.405556,0.013887999999999956,2026-09-19_17-26-10.log,2026-09-19_17-35-45.log,500
1555680,2,600.0,600.0,1,0.283333,0.283333,0.0,0.288095,-0.0047619999999999885,2026-09-19_17-43-37.log,2026-09-19_17-53-40.log,600
1555680,2,700.0,700.0,1,0.252083,0.252083,0.0,0.25,0.0020830000000000015,2026-09-19_18-02-27.log,2026-09-19_18-14-34.log,700
60466,2,350.0,350.0,1,0.8875,0.8875,0.0,0.870833,0.016666999999999987,2026-09-19_18-25-03.log,2026-09-19_18-32-19.log,350
60466,2,400.0,400.0,1,0.72,0.72,0.0,0.7,0.020000000000000018,2026-09-19_18-38-09.log,2026-09-19_18-46-50.log,400
60466,2,500.0,500.0,1,0.505556,0.508333,0.0027770000000000294,0.505556,0.0,2026-09-19_18-54-03.log,2026-09-19_19-02-55.log,500
60466,2,600.0,600.0,1,0.342857,0.342857,0.0,0.340476,0.002381000000000022,2026-09-19_19-10-52.log,2026-09-19_19-21-41.log,600
60466,2,700.0,700.0,1,0.25,0.25,0.0,0.235417,0.014583000000000013,2026-09-19_19-30-58.log,2026-09-19_19-42-37.log,700
37283284,3,350.0,350.0,1,0.95,0.95,0.0,0.908333,0.04166700000000001,2026-09-19_19-53-13.log,2026-09-19_20-01-18.log,350
37283284,3,400.0,400.0,1,0.78,0.793333,0.013332999999999928,0.806667,-0.026666999999999996,2026-09-19_20-08-07.log,2026-09-19_20-17-32.log,400
37283284,3,500.0,500.0,1,0.616667,0.616667,0.0,0.575,0.04166700000000001,2026-09-19_20-26-05.log,2026-09-19_20-36-55.log,500
37283284,3,600.0,600.0,1,0.447619,0.447619,0.0,0.419048,0.028571000000000013,2026-09-19_20-45-58.log,2026-09-19_20-57-09.log,600
37283284,3,700.0,700.0,1,0.377083,0.377083,0.0,0.31875,0.058333000000000024,2026-09-19_21-07-39.log,2026-09-19_21-21-21.log,700
1555680,3,350.0,350.0,1,0.9375,0.9375,0.0,0.916667,0.02083299999999999,2026-09-19_21-32-54.log,2026-09-19_21-40-42.log,350
1555680,3,400.0,400.0,1,0.846667,0.846667,0.0,0.84,0.0066669999999999785,2026-09-19_21-47-33.log,2026-09-19_21-57-50.log,400
1555680,3,500.0,500.0,1,0.594444,0.594444,0.0,0.558333,0.036111000000000004,2026-09-19_22-06-10.log,2026-09-19_22-17-22.log,500
1555680,3,600.0,600.0,1,0.428571,0.428571,0.0,0.37619,0.052380999999999955,2026-09-19_22-26-39.log,2026-09-19_22-38-42.log,600
1555680,3,700.0,700.0,1,0.383333,0.383333,0.0,0.327083,0.05624999999999997,2026-09-19_22-48-38.log,2026-09-19_23-03-01.log,700
60466,3,350.0,350.0,1,0.975,0.975,0.0,0.95,0.025000000000000022,2026-09-19_23-14-34.log,2026-09-19_23-22-26.log,350
60466,3,400.0,400.0,1,0.856667,0.856667,0.0,0.813333,0.043333999999999984,2026-09-19_23-29-09.log,2026-09-19_23-39-07.log,400
60466,3,500.0,500.0,1,0.65,0.65,0.0,0.597222,0.05277799999999999,2026-09-19_23-47-31.log,2026-09-19_23-58-12.log,500
60466,3,600.0,600.0,1,0.459524,0.459524,0.0,0.457143,0.0023809999999999665,2026-09-20_00-07-30.log,2026-09-20_00-19-55.log,600
60466,3,700.0,700.0,1,0.341667,0.345833,0.004166000000000003,0.358333,-0.016666000000000014,2026-09-20_12-49-48.log,2026-09-20_13-11-23.log,700
