pair,seed,relays,width,height,pso_total_evaluations,naive_total_evaluations,common_budget,pso_final_fitness,naive_final_fitness,pso_best_common_budget,naive_best_common_budget,delta_common_budget,pso_final_best_first_eval,naive_final_best_first_eval,pso_final_time,naive_final_time
43,1555680,3,500.0,500.0,420,400,400,0.166667,0.183333,0.166667,0.183333,-0.016665999999999986,231,290,426.051,383.801
44,1555680,3,500.0,500.0,420,400,400,0.166667,0.183333,0.166667,0.183333,-0.016665999999999986,231,290,421.467,379.17
45,1555680,3,500.0,500.0,420,400,400,0.15,0.147222,0.15,0.147222,0.0027780000000000027,100,135,415.134,370.734
46,60466,3,500.0,500.0,420,400,400,0.65,0.597222,0.65,0.597222,0.05277799999999999,387,394,623.511,541.59
47,60466,3,500.0,500.0,420,400,400,0.494444,0.480556,0.494444,0.480556,0.013888000000000011,321,221,604.028,515.423
48,60466,3,500.0,500.0,420,400,400,0.252778,0.236111,0.244444,0.236111,0.008333000000000007,407,173,527.604,488.959
49,60466,3,500.0,500.0,420,400,400,0.513889,0.463889,0.513889,0.463889,0.050000000000000044,281,111,596.605,472.837
50,60466,3,500.0,500.0,420,400,400,0.45,0.408333,0.45,0.408333,0.04166700000000001,162,254,576.634,468.619
51,60466,3,500.0,500.0,420,400,400,0.252778,0.236111,0.252778,0.236111,0.016667000000000015,220,235,474.196,443.532
52,60466,3,500.0,500.0,420,400,400,0.261111,0.222222,0.255556,0.222222,0.033334,412,178,457.669,416.579
53,60466,3,500.0,500.0,420,400,400,0.266667,0.216667,0.266667,0.216667,0.04999999999999999,369,188,459.9,414.93
54,60466,3,500.0,500.0,420,400,400,0.191667,0.2,0.191667,0.2,-0.008333000000000007,310,30,437.432,406.016
55,37283284,4,500.0,500.0,420,400,400,0.736111,0.669444,0.713889,0.669444,0.04444499999999996,415,209,715.164,633.924
56,37283284,4,500.0,500.0,420,400,400,0.516667,0.494444,0.516667,0.494444,0.022222999999999993,371,49,624.297,573.943
57,37283284,4,500.0,500.0,420,400,400,0.347222,0.336111,0.347222,0.336111,0.011110999999999982,258,173,570.405,525.48
58,37283284,4,500.0,500.0,420,400,400,0.563889,0.530556,0.563889,0.530556,0.033332999999999946,273,214,611.316,505.018
59,37283284,4,500.0,500.0,420,400,400,0.497222,0.433333,0.497222,0.433333,0.06388899999999997,199,214,573.78,483.081
60,37283284,4,500.0,500.0,420,400,400,0.297222,0.277778,0.297222,0.277778,0.01944399999999996,130,292,499.631,450.577
61,37283284,4,500.0,500.0,420,400,400,0.258333,0.241667,0.258333,0.241667,0.016665999999999986,294,189,441.6,
62,37283284,4,500.0,500.0,420,400,400,0.255556,0.238889,0.255556,0.238889,0.016667000000000015,294,189,444.951,
63,37283284,4,500.0,500.0,420,400,400,0.216667,0.208333,0.216667,0.208333,0.008334000000000008,206,204,438.472,
64,1555680,4,500.0,500.0,420,400,400,0.727778,0.658333,0.727778,0.658333,0.06944500000000009,291,377,750.23,638.533
65,1555680,4,500.0,500.0,420,400,400,0.472222,0.536111,0.472222,0.536111,-0.06388900000000003,358,377,613.065,598.533
66,1555680,4,500.0,500.0,420,400,400,0.355556,0.322222,0.355556,0.322222,0.033333999999999975,238,162,562.689,537.61
67,1555680,4,500.0,500.0,420,400,400,0.544444,0.488889,0.544444,0.488889,0.05555500000000002,280,175,630.34,521.211
68,1555680,4,500.0,500.0,420,400,400,0.463889,0.455556,0.463889,0.455556,0.00833299999999998,296,374,567.785,492.537
69,1555680,4,500.0,500.0,420,400,400,0.361111,0.286111,0.361111,0.286111,0.07500000000000001,293,50,515.288,455.803
70,1555680,4,500.0,500.0,420,400,400,0.25,0.183333,0.25,0.183333,0.066667,385,8,442.463,
71,1555680,4,500.0,500.0,420,400,400,0.233333,0.183333,0.233333,0.183333,0.05000000000000002,334,8,439.55,
72,1555680,4,500.0,500.0,420,400,400,0.269444,0.15,0.269444,0.15,0.11944400000000002,286,2,429.997,
73,60466,4,500.0,500.0,420,400,400,0.741667,0.708333,0.741667,0.708333,0.033333999999999975,247,157,718.262,621.353
74,60466,4,500.0,500.0,420,400,400,0.555556,0.525,0.555556,0.525,0.030556000000000028,333,170,659.379,581.868
75,60466,4,500.0,500.0,420,400,400,0.311111,0.283333,0.311111,0.283333,0.027778000000000025,400,220,591.738,530.698
76,60466,4,500.0,500.0,420,400,400,0.605556,0.547222,0.605556,0.547222,0.058334,323,165,644.715,533.44
77,60466,4,500.0,500.0,420,400,400,0.541667,0.488889,0.541667,0.488889,0.05277799999999999,368,165,606.726,524.581
78,60466,4,500.0,500.0,420,400,400,0.341667,0.322222,0.313889,0.322222,-0.008333000000000035,401,163,507.758,475.214
79,60466,4,500.0,500.0,420,400,400,0.266667,0.266667,0.266667,0.266667,0.0,293,148,469.596,
80,60466,4,500.0,500.0,420,400,400,0.275,0.266667,0.275,0.266667,0.008333000000000035,373,148,466.463,
81,60466,4,500.0,500.0,420,400,400,0.241667,0.236111,0.238889,0.236111,0.0027780000000000027,408,271,455.757,
82,37283284,6,500.0,500.0,420,400,400,0.780556,0.825,0.780556,0.825,-0.04444399999999993,358,346,823.263,799.15
83,37283284,6,500.0,500.0,420,400,400,0.7,0.686111,0.675,0.686111,-0.011110999999999982,408,353,706.323,723.496
84,37283284,6,500.0,500.0,420,400,400,0.377778,0.425,0.377778,0.425,-0.047221999999999986,277,218,615.506,624.071
85,37283284,6,500.0,500.0,420,400,400,0.633333,0.622222,0.633333,0.622222,0.011110999999999982,187,328,702.021,659.131
86,37283284,6,500.0,500.0,420,400,400,0.6,0.566667,0.6,0.566667,0.033332999999999946,263,136,651.325,618.11
87,37283284,6,500.0,500.0,420,400,400,0.355556,0.436111,0.355556,0.436111,-0.08055500000000004,315,331,542.747,545.512
88,37283284,6,500.0,500.0,420,400,400,0.391667,0.0,0.391667,0.0,0.391667,336,,512.852,
89,37283284,6,500.0,500.0,420,400,400,0.380556,0.0,0.380556,0.0,0.380556,390,,505.22,
90,37283284,6,500.0,500.0,420,400,400,0.333333,0.0,0.333333,0.0,0.333333,346,,470.314,
91,1555680,6,500.0,500.0,420,400,400,0.816667,0.758333,0.816667,0.758333,0.058334,260,21,814.14,789.115
92,1555680,6,500.0,500.0,420,400,400,0.663889,0.622222,0.663889,0.622222,0.0416669999999999,298,21,754.895,716.834
93,1555680,6,500.0,500.0,420,400,400,0.444444,0.405556,0.444444,0.405556,0.03888799999999998,338,345,645.069,611.465
94,1555680,6,500.0,500.0,420,400,400,0.647222,0.647222,0.636111,0.647222,-0.011110999999999982,401,351,633.475,669.544
95,1555680,6,500.0,500.0,420,400,400,0.663889,0.572222,0.644444,0.572222,0.07222200000000001,403,390,602.724,634.663
96,1555680,6,500.0,500.0,420,400,400,0.422222,0.408333,0.422222,0.408333,0.013888999999999985,327,308,573.484,555.28
97,1555680,6,500.0,500.0,420,400,400,0.358333,0.0,0.358333,0.0,0.358333,272,,489.233,
98,1555680,6,500.0,500.0,420,400,400,0.358333,0.0,0.358333,0.0,0.358333,250,,481.549,
99,1555680,6,500.0,500.0,420,400,400,0.319444,0.0,0.319444,0.0,0.319444,239,,491.355,
100,60466,6,500.0,500.0,420,400,400,0.794444,0.813889,0.794444,0.813889,-0.019444999999999935,289,397,785.953,773.025
101,60466,6,500.0,500.0,420,400,400,0.641667,0.638889,0.641667,0.638889,0.002777999999999947,292,397,738.314,705.23
102,60466,6,500.0,500.0,420,400,400,0.361111,0.377778,0.361111,0.377778,-0.016666999999999987,168,174,645.787,612.923
103,60466,6,500.0,500.0,420,400,400,0.713889,0.686111,0.713889,0.686111,0.02777799999999997,135,395,653.043,668.339
104,60466,6,500.0,500.0,420,400,400,0.594444,0.608333,0.594444,0.608333,-0.01388900000000004,259,76,633.866,632.296
105,60466,6,500.0,500.0,420,400,400,0.45,0.394444,0.45,0.394444,0.055555999999999994,349,97,579.029,564.624
106,60466,6,500.0,500.0,420,400,400,0.461111,0.0,0.461111,0.0,0.461111,322,,565.361,
107,60466,6,500.0,500.0,420,400,400,0.425,0.0,0.425,0.0,0.425,221,,553.064,
108,60466,6,500.0,500.0,420,400,400,0.372222,0.0,0.372222,0.0,0.372222,400,,519.079,
