seed,relays,width,height,network_config,pso_400,pso_final,pso_extra_20_gain,naive_400,delta,pso_file,naive_file,relay_power,node_power
1555680,4,500.0,500.0,8,0.233333,0.233333,0.0,0.183333,0.05000000000000002,2026-09-21_22-45-31.log,2026-09-21_22-52-58.log,0.000316,0.001
1555680,4,500.0,500.0,9,0.269444,0.269444,0.0,0.15,0.11944400000000002,2026-09-21_22-53-18.log,2026-09-21_23-00-34.log,0.000316,0.000316
60466,4,500.0,500.0,1,0.741667,0.741667,0.0,0.708333,0.033333999999999975,2026-09-21_23-00-57.log,2026-09-21_23-13-07.log,0.00224,0.00224
60466,4,500.0,500.0,2,0.555556,0.555556,0.0,0.525,0.030556000000000028,2026-09-21_23-23-41.log,2026-09-21_23-34-52.log,0.00224,0.001
60466,4,500.0,500.0,3,0.311111,0.311111,0.0,0.283333,0.027778000000000025,2026-09-21_23-44-47.log,2026-09-21_23-54-50.log,0.00224,0.000316
60466,4,500.0,500.0,4,0.605556,0.605556,0.0,0.547222,0.058334,2026-09-22_00-03-51.log,2026-09-22_00-14-45.log,0.001,0.00224
60466,4,500.0,500.0,5,0.541667,0.541667,0.0,0.488889,0.05277799999999999,2026-09-22_00-23-49.log,2026-09-22_00-34-04.log,0.001,0.001
60466,4,500.0,500.0,6,0.313889,0.341667,0.027778000000000025,0.322222,-0.008333000000000035,2026-09-22_00-43-00.log,2026-09-22_00-51-36.log,0.001,0.000316
60466,4,500.0,500.0,7,0.266667,0.266667,0.0,0.266667,0.0,2026-09-22_00-59-40.log,2026-09-22_01-07-37.log,0.000316,0.00224
60466,4,500.0,500.0,8,0.275,0.275,0.0,0.266667,0.008333000000000035,2026-09-22_01-14-51.log,2026-09-22_01-22-44.log,0.000316,0.001
60466,4,500.0,500.0,9,0.238889,0.241667,0.0027780000000000027,0.236111,0.0027780000000000027,2026-09-22_01-29-52.log,2026-09-22_01-37-35.log,0.000316,0.000316
37283284,6,500.0,500.0,1,0.780556,0.780556,0.0,0.825,-0.04444399999999993,2026-09-22_01-44-42.log,2026-09-22_01-58-36.log,0.00224,0.00224
37283284,6,500.0,500.0,2,0.675,0.7,0.02499999999999991,0.686111,-0.011110999999999982,2026-09-22_02-12-08.log,2026-09-22_02-24-06.log,0.00224,0.001
37283284,6,500.0,500.0,3,0.377778,0.377778,0.0,0.425,-0.047221999999999986,2026-09-22_02-36-23.log,2026-09-22_02-46-49.log,0.00224,0.000316
37283284,6,500.0,500.0,4,0.633333,0.633333,0.0,0.622222,0.011110999999999982,2026-09-22_02-57-24.log,2026-09-22_03-09-15.log,0.001,0.00224
37283284,6,500.0,500.0,5,0.6,0.6,0.0,0.566667,0.033332999999999946,2026-09-22_03-20-25.log,2026-09-22_03-31-26.log,0.001,0.001
37283284,6,500.0,500.0,6,0.355556,0.355556,0.0,0.436111,-0.08055500000000004,2026-09-22_03-41-55.log,2026-09-22_03-51-06.log,0.001,0.000316
37283284,6,500.0,500.0,7,0.391667,0.391667,0.0,0.0,0.391667,2026-09-22_04-00-30.log,2026-09-22_04-09-10.log,0.000316,0.00224
37283284,6,500.0,500.0,8,0.380556,0.380556,0.0,0.0,0.380556,2026-09-22_04-09-26.log,2026-09-22_04-17-57.log,0.000316,0.001
37283284,6,500.0,500.0,9,0.333333,0.333333,0.0,0.0,0.333333,2026-09-22_04-18-13.log,2026-09-22_04-26-10.log,0.000316,0.000316
1555680,6,500.0,500.0,1,0.816667,0.816667,0.0,0.758333,0.058334,2026-09-22_04-26-21.log,2026-09-22_04-40-06.log,0.00224,0.00224
1555680,6,500.0,500.0,2,0.663889,0.663889,0.0,0.622222,0.0416669999999999,2026-09-22_04-53-29.log,2026-09-22_05-06-15.log,0.00224,0.001
1555680,6,500.0,500.0,3,0.444444,0.444444,0.0,0.405556,0.03888799999999998,2026-09-22_05-18-25.log,2026-09-22_05-29-21.log,0.00224,0.000316
1555680,6,500.0,500.0,4,0.636111,0.647222,0.011110999999999982,0.647222,-0.011110999999999982,2026-09-22_05-39-43.log,2026-09-22_05-50-26.log,0.001,0.00224
1555680,6,500.0,500.0,5,0.644444,0.663889,0.019444999999999935,0.572222,0.07222200000000001,2026-09-22_06-01-47.log,2026-09-22_06-11-58.log,0.001,0.001
1555680,6,500.0,500.0,6,0.422222,0.422222,0.0,0.408333,0.013888999999999985,2026-09-22_06-22-44.log,2026-09-22_06-32-26.log,0.001,0.000316
1555680,6,500.0,500.0,7,0.358333,0.358333,0.0,0.0,0.358333,2026-09-22_06-41-58.log,2026-09-22_06-50-14.log,0.000316,0.00224
1555680,6,500.0,500.0,8,0.358333,0.358333,0.0,0.0,0.358333,2026-09-22_06-50-28.log,2026-09-22_06-58-36.log,0.000316,0.001
1555680,6,500.0,500.0,9,0.319444,0.319444,0.0,0.0,0.319444,2026-09-22_06-58-50.log,2026-09-22_07-07-09.log,0.000316,0.000316
60466,6,500.0,500.0,1,0.794444,0.794444,0.0,0.813889,-0.019444999999999935,2026-09-22_07-07-19.log,2026-09-22_07-20-36.log,0.00224,0.00224
60466,6,500.0,500.0,2,0.641667,0.641667,0.0,0.638889,0.002777999999999947,2026-09-22_07-33-43.log,2026-09-22_07-46-13.log,0.00224,0.001
60466,6,500.0,500.0,3,0.361111,0.361111,0.0,0.377778,-0.016666999999999987,2026-09-22_07-58-11.log,2026-09-22_08-09-08.log,0.00224,0.000316
60466,6,500.0,500.0,4,0.713889,0.713889,0.0,0.686111,0.02777799999999997,2026-09-22_08-19-32.log,2026-09-22_08-30-33.log,0.001,0.00224
60466,6,500.0,500.0,5,0.594444,0.594444,0.0,0.608333,-0.01388900000000004,2026-09-22_08-41-53.log,2026-09-22_08-52-36.log,0.001,0.001
60466,6,500.0,500.0,6,0.45,0.45,0.0,0.394444,0.055555999999999994,2026-09-22_09-03-19.log,2026-09-22_09-13-07.log,0.001,0.000316
60466,6,500.0,500.0,7,0.461111,0.461111,0.0,0.0,0.461111,2026-09-22_09-22-51.log,2026-09-22_09-32-23.log,0.000316,0.00224
60466,6,500.0,500.0,8,0.425,0.425,0.0,0.0,0.425,2026-09-22_09-32-40.log,2026-09-22_09-41-59.log,0.000316,0.001
60466,6,500.0,500.0,9,0.372222,0.372222,0.0,0.0,0.372222,2026-09-22_09-42-16.log,2026-09-22_09-51-02.log,0.000316,0.000316
